CBSA,NAME,POPESTIMATE2014,POPESTIMATE2015
10180,"Abilene, TX",168380,169578
10420,"Akron, OH",704835,704243
10500,"Albany, GA",155020,153526
10540,"Albany, OR",119269,120547
10580,"Albany-Schenectady-Troy, NY",880091,881830
10740,"Albuquerque, NM",904720,907301
10780,"Alexandria, LA",154798,154484
10900,"Allentown-Bethlehem-Easton, PA-NJ",829731,832327
11020,"Altoona, PA",126016,125593
11100,"Amarillo, TX",260987,262056
11180,"Ames, IA",95456,96021
11260,"Anchorage, AK",398642,399790
11460,"Ann Arbor, MI",357029,358880
11500,"Anniston-Oxford-Jacksonville, AL",115993,115620
11540,"Appleton, WI",231483,233007
11700,"Asheville, NC",441782,446840
12020,"Athens-Clarke County, GA",199029,203189
12060,"Atlanta-Sandy Springs-Roswell, GA",5615364,5710795
12100,"Atlantic City-Hammonton, NJ",275499,274219
12220,"Auburn-Opelika, AL",154426,156993
12260,"Augusta-Richmond County, GA-SC",583338,590146
12420,"Austin-Round Rock, TX",1943465,2000860
12540,"Bakersfield, CA",874190,882176
12580,"Baltimore-Columbia-Towson, MD",2786853,2797407
12620,"Bangor, ME",153535,152692
12700,"Barnstable Town, MA",214665,214333
12940,"Baton Rouge, LA",825499,830480
12980,"Battle Creek, MI",134821,134314
13020,"Bay City, MI",106256,105659
13140,"Beaumont-Port Arthur, TX",405644,408419
13220,"Beckley, WV",123366,122507
13380,"Bellingham, WA",208491,212284
13460,"Bend-Redmond, OR",170398,175268
13740,"Billings, MT",166853,168283
13780,"Binghamton, NY",247446,246020
13820,"Birmingham-Hoover, AL",1142823,1145647
13900,"Bismarck, ND",126668,129517
13980,"Blacksburg-Christiansburg-Radford, VA",181438,181747
14010,"Bloomington, IL",190356,189413
14020,"Bloomington, IN",164605,165577
14100,"Bloomsburg-Berwick, PA",85578,85229
14260,"Boise City, ID",664707,676909
14460,"Boston-Cambridge-Newton, MA-NH",4739385,4774321
14500,"Boulder, CO",313864,319372
14540,"Bowling Green, KY",165947,168436
14740,"Bremerton-Silverdale, WA",254525,260131
14860,"Bridgeport-Stamford-Norwalk, CT",945816,948053
15180,"Brownsville-Harlingen, TX",420400,422156
15260,"Brunswick, GA",114758,116003
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1136642,1135230
15500,"Burlington, NC",156357,158276
15540,"Burlington-South Burlington, VT",216335,217042
15680,"California-Lexington Park, MD",110350,111413
15940,"Canton-Massillon, OH",403847,402976
15980,"Cape Coral-Fort Myers, FL",679233,701982
16020,"Cape Girardeau, MO-IL",97579,97534
16060,"Carbondale-Marion, IL",126651,126828
16180,"Carson City, NV",54480,54521
16220,"Casper, WY",81603,82178
16300,"Cedar Rapids, IA",263974,266040
16540,"Chambersburg-Waynesboro, PA",152951,153638
16580,"Champaign-Urbana, IL",237579,238984
16620,"Charleston, WV",222824,220614
16700,"Charleston-North Charleston, SC",726969,744526
16740,"Charlotte-Concord-Gastonia, NC-SC",2379177,2426363
16820,"Charlottesville, VA",226860,229514
16860,"Chattanooga, TN-GA",544197,547776
16940,"Cheyenne, WY",96469,97121
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9557294,9551031
17020,"Chico, CA",224033,225411
17140,"Cincinnati, OH-KY-IN",2148450,2157719
17300,"Clarksville, TN-KY",277894,281021
17420,"Cleveland, TN",119769,120864
17460,"Cleveland-Elyria, OH",2064079,2060810
17660,"Coeur d'Alene, ID",147245,150346
17780,"College Station-Bryan, TX",242919,249156
17820,"Colorado Springs, CO",686252,697856
17860,"Columbia, MO",173019,174974
17900,"Columbia, SC",800011,810068
17980,"Columbus, GA-AL",314342,313749
18020,"Columbus, IN",80220,81162
18140,"Columbus, OH",1997308,2021632
18580,"Corpus Christi, TX",448351,452422
18700,"Corvallis, OR",86414,87572
18880,"Crestview-Fort Walton Beach-Destin, FL",257209,262172
19060,"Cumberland, MD-WV",100611,99979
19100,"Dallas-Fort Worth-Arlington, TX",6958092,7102796
19140,"Dalton, GA",142971,143781
19180,"Danville, IL",79837,79282
19300,"Daphne-Fairhope-Foley, AL",199713,203709
19340,"Davenport-Moline-Rock Island, IA-IL",383995,383606
19380,"Dayton, OH",801145,800909
19460,"Decatur, AL",153082,152680
19500,"Decatur, IL",108381,107303
19660,"Deltona-Daytona Beach-Ormond Beach, FL",610290,623279
19740,"Denver-Aurora-Lakewood, CO",2755856,2814330
19780,"Des Moines-West Des Moines, IA",612156,622899
19820,"Detroit-Warren-Dearborn, MI",4301480,4302043
20020,"Dothan, AL",147993,148171
20100,"Dover, DE",171773,173533
20220,"Dubuque, IA",96587,97125
20260,"Duluth, MN-WI",279983,279601
20500,"Durham-Chapel Hill, NC",543217,552493
20700,"East Stroudsburg, PA",167242,166397
20740,"Eau Claire, WI",165085,165636
20940,"El Centro, CA",179332,180191
21060,"Elizabethtown-Fort Knox, KY",151895,148604
21140,"Elkhart-Goshen, IN",201739,203474
21300,"Elmira, NY",87469,87071
21340,"El Paso, TX",838756,838972
21500,"Erie, PA",278936,278045
21660,"Eugene, OR",358506,362895
21780,"Evansville, IN-KY",315137,315693
21820,"Fairbanks, AK",99371,99631
22020,"Fargo, ND-MN",228557,233836
22140,"Farmington, NM",123990,118737
22180,"Fayetteville, NC",377458,376509
22220,"Fayetteville-Springdale-Rogers, AR-MO",502064,513559
22380,"Flagstaff, AZ",137637,139097
22420,"Flint, MI",412934,410849
22500,"Florence, SC",206756,206448
22520,"Florence-Muscle Shoals, AL",147543,146950
22540,"Fond du Lac, WI",102010,101973
22660,"Fort Collins, CO",324657,333577
22900,"Fort Smith, AR-OK",279821,280241
23060,"Fort Wayne, IN",426940,429820
